"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1681","OK","Oklahoma",2336.32320274234,0.0354367726649001,0.0619653069487149,35093.4561258928,18926.0010551661,133,"Seminole",8037,7456,2071,2600,5613,4856,FALSE,0.269521082769391,0.348712446351931
"1682","CT","Connecticut",8806.72302554089,0.169088240899923,0.107648209062081,99838.6350420853,689810.01878798,1,"Fairfield",421209,396130,243852,217294,160077,175168,FALSE,0.6037001552253,0.553668890236507
"1683","GA","Georgia",1173.55448962388,0.0197893832328896,0.190260820937873,59709.0117676161,20363.0012773722,177,"Lee",14143,13628,3170,3196,10646,10314,FALSE,0.229444122756225,0.236565507031828
"1684","GA","Georgia",2062.23610958509,0.102748133886576,0.271720636330166,35619.8514260081,31255.0004327297,69,"Coffee",13915,14454,4094,5057,9588,9248,FALSE,0.299225259464991,0.353512757777001
"1685","GA","Georgia",35123.1793669706,0.124079151174282,0.196059287834446,47267.8569273098,8214.00029990077,53,"Chattahoochee",1390,1490,594,729,751,735,FALSE,0.441635687732342,0.497950819672131
"1686","GA","Georgia",212.191863125739,0.0188440068441388,0.104360318102949,40165.5993746831,8785.9998023212,149,"Heard",4223,4172,743,948,3370,3160,FALSE,0.180646729880866,0.230769230769231
"1687","OR","Oregon",2795.17655170611,0.0327259115616163,0.00570224480344659,39888.1213586215,12854.0006325841,1,"Baker",8779,8448,1797,2369,6218,5702,FALSE,0.224204616344354,0.293520009912031
"1688","WI","Wisconsin",570.668258106763,0.0105235104731827,0.00546156914938334,45031.8631277474,12161.0002908409,7,"Bayfield",9612,9788,4953,6033,4124,3603,TRUE,0.545664867246888,0.626089663760897
"1689","OR","Oregon",13208.9619228749,0.108981766453204,0.0667519761572703,55596.7447905476,584651.011043973,51,"Multnomah",399103,364722,292561,274887,67954,75302,FALSE,0.811508536399318,0.784967546096536
"1690","OR","Oregon",7421.87950105807,0.0743983009000568,0.015805409318402,44590.2635287093,282026.004824743,39,"Lane",191950,171850,102753,102652,67141,62509,FALSE,0.604806526422357,0.621526873777708
"1691","WI","Wisconsin",771.539331747137,0.0253830203329174,0.00688132799365462,44882.1208776941,12319.000151515,77,"Marquette",7891,8105,2808,4014,4709,3992,TRUE,0.373553279233737,0.501373969522858
"1692","WI","Wisconsin",1745.53365107718,0.016218648300306,0.00680782720056845,44504.1106272213,15762.0001961142,67,"Langlade",10186,10519,3250,4573,6478,5816,TRUE,0.334087171052632,0.440177110405236
"1693","WI","Wisconsin",2536.13015835984,0.0254077739527921,0.0152376311454324,57989.4434747418,43566.0018158555,21,"Columbia",29698,30546,13528,17175,14163,13026,TRUE,0.488534180780759,0.568689778484156
"1694","WI","Wisconsin",6157.50248728362,0.0346359782052298,0.0223301427189352,52590.9779213624,130862.002612591,139,"Winnebago",87135,89173,37047,45449,43445,42122,TRUE,0.460256919942355,0.518996014662388
"1695","VA","Virginia",5623.39843487689,0.0216036361455415,0.136022917108727,44396.2714141329,19131.0004174709,790,"Staunton",11255,11210,5333,5728,5133,5272,FALSE,0.509554748710109,0.520727272727273
"1696","MS","Mississippi",719.077277271348,0.00971428510926816,0.205469380442205,36887.9368979592,9136.0005171299,111,"Perry",5432,5722,1220,1527,4135,4137,FALSE,0.227824463118581,0.269597457627119
"1697","NC","North Carolina",5826.36394979754,0.0975834434758894,0.21248445730936,71588.5918234624,666380.005238622,183,"Wake",527624,486427,302736,267262,196082,211596,FALSE,0.606906727503819,0.558123702642537
"1698","WA","Washington",1326.72119810804,0.0336379262237237,0.00675407198984573,33986.0961462058,6053.00023768842,19,"Ferry",3644,3440,1098,1294,2202,1995,FALSE,0.332727272727273,0.39343265430222
"1699","NE","Nebraska",2422.83550323945,0.0386398768667583,0.00257599432863936,40093,1533.00009199977,49,"Deuel",984,1017,120,215,809,763,FALSE,0.129171151776103,0.219836400817996
"1700","NE","Nebraska",1552.53980071347,0.0388915903131012,0.00388915895488463,40125,1675.00006100535,69,"Garden",1075,1091,153,242,869,829,FALSE,0.149706457925636,0.225957049486461
